date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:23	235634/235634	---M--	200	added ('OK')	image/png	etag:W/%2239872-173f915a4a0%22	https://screenshots.cloudron.io/io.gitea.cloudronapp/4.png	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.gitea.cloudronapp/4.png	(from https://www.cloudron.io/store/index.html)
18:23:24	207948/207948	---M--	200	added ('OK')	image/png	etag:W/%2232c4c-186c13328bf%22	https://screenshots.cloudron.io/io.github.ascimoo.searx/2ng.png	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.github.ascimoo.searx/2ng.png	(from https://www.cloudron.io/store/index.html)
18:23:25	109368/109368	---M--	200	added ('OK')	image/png	etag:W/%221ab38-173f914e150%22	https://screenshots.cloudron.io/io.gogs.cloudronapp/2.png	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.gogs.cloudronapp/2.png	(from https://www.cloudron.io/store/index.html)
18:23:25	85333/85333	---M--	200	added ('OK')	image/png	etag:W/%2214d55-173f914e150%22	https://screenshots.cloudron.io/io.gogs.cloudronapp/3.png	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.gogs.cloudronapp/3.png	(from https://www.cloudron.io/store/index.html)
18:23:26	90542/90542	---M--	200	added ('OK')	image/png	etag:W/%22161ae-18baf01960e%22	https://screenshots.cloudron.io/io.invidious.cloudronapp/02_preferences.png	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.invidious.cloudronapp/02_preferences.png	(from https://www.cloudron.io/store/index.html)
18:23:26	530768/530768	---M--	200	added ('OK')	image/jpeg	etag:W/%2281950-176f52f75e8%22	https://screenshots.cloudron.io/io.github.sickchill.cloudronapp/calendar.jpg	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.github.sickchill.cloudronapp/calendar.jpg	(from https://www.cloudron.io/store/index.html)
18:23:26	88492/88492	---M--	200	added ('OK')	image/png	etag:W/%22159ac-1791551fbc8%22	https://screenshots.cloudron.io/io.n8n.cloudronapp/workflow2.png	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.n8n.cloudronapp/workflow2.png	(from https://www.cloudron.io/store/index.html)
18:23:26	49522/49522	---M--	200	added ('OK')	image/png	etag:W/%22c172-175b4bc1738%22	https://screenshots.cloudron.io/io.prometheus.cloudronapp/2.png	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.prometheus.cloudronapp/2.png	(from https://www.cloudron.io/store/index.html)
18:23:27	38188/38188	---M--	200	added ('OK')	image/png	etag:W/%22952c-17cba105120%22	https://screenshots.cloudron.io/io.redash.cloudronapp/redash_screenshot_vis-slide-2.png	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.redash.cloudronapp/redash_screenshot_vis-slide-2.png	(from https://www.cloudron.io/store/index.html)
18:23:27	40037/40037	---M--	200	added ('OK')	image/png	etag:W/%229c65-173f91648b0%22	https://screenshots.cloudron.io/io.taiga.cloudronapp/02.png	O:/BIRTHDAY_SERVER/dev.birthday.gold/staff/grab/links/screenshots.cloudron.io/io.taiga.cloudronapp/02.png	(from https://www.cloudron.io/store/index.html)
